onglet,ligne,type,texte,quantite,unite,prix_unitaire,categorie_parent,raison
"510 Système de support","34","titre_sous_titre","CARLOS","","","","510 Système de support","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"510 Système de support","35","titre_sous_titre","SYSTEME DE SUPPORT","","","","510 Système de support > CARLOS","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"510 Système de support","37","titre_sous_titre","Travaux de regie","","","","510 Système de support > SYSTEME DE SUPPORT","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"510 Système de support","39","titre_sous_titre","Provisoire de chantier","","","","510 Système de support > Travaux de regie","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"510 Système de support","41","titre_sous_titre","Mise à disposition d'un tableau de chantier 25A triphasé","","","","510 Système de support > Provisoire de chantier","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"510 Système de support","43","main_oeuvre","- Main d'œuvre","1","p","200","510 Système de support > Mise à disposition d'un tableau de chantier 25A triphasé","Ligne Main oeuvre exclue sur demande."
"510 Système de support","45","titre_sous_titre","Formalitées SIG","","","","510 Système de support > Mise à disposition d'un tableau de chantier 25A triphasé","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"510 Système de support","47","titre_sous_titre","Contrôle de l'installation définitive selon les normes OIBT","","","","510 Système de support > Formalitées SIG","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"510 Système de support","48","controle_final","- Contrôle final","1","p","290","510 Système de support > Contrôle de l'installation définitive selon les normes OIBT","Ligne Controle final exclue sur demande."
"510 Système de support","50","titre_sous_titre","Contrôle de l'installation provisoire selon les normes OIBT","","","","510 Système de support > Contrôle de l'installation définitive selon les normes OIBT","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"510 Système de support","51","controle_final","- Contrôle final","1","p","290","510 Système de support > Contrôle de l'installation provisoire selon les normes OIBT","Ligne Controle final exclue sur demande."
"510 Système de support","53","titre_sous_titre","Installation existante","","","","510 Système de support > Contrôle de l'installation provisoire selon les normes OIBT","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"510 Système de support","55","titre_sous_titre","Dépose de l'installation existante et évacuation des déchets","","","","510 Système de support > Installation existante","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"510 Système de support","56","main_oeuvre","- Main d'œuvre","1","p","880","510 Système de support > Dépose de l'installation existante et évacuation des déchets","Ligne Main oeuvre exclue sur demande."
"510 Système de support","58","titre_sous_titre","Boites et tubes","","","","510 Système de support > Dépose de l'installation existante et évacuation des déchets","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"510 Système de support","60","titre_sous_titre","Boites d'encastrement","","","","510 Système de support > Boites et tubes","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"510 Système de support","75","titre_sous_titre","Boites de derrivation","","","","510 Système de support > Boites d'encastrement","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"510 Système de support","77","titre_sous_titre","AP","","","","510 Système de support > Boites de derrivation","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"510 Système de support","87","titre_sous_titre","Tube d'installation KIR","","","","510 Système de support > AP","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"510 Système de support","105","titre_sous_titre","Tube d'installation ALU","","","","510 Système de support > Tube d'installation KIR","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"510 Système de support","122","titre_sous_titre","Tube d'installation GENOFLEX","","","","510 Système de support > Tube d'installation ALU","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"510 Système de support","152","titre_sous_titre","Canal d'installation","","","","510 Système de support > Tube d'installation GENOFLEX","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"510 Système de support","168","titre_sous_titre","Canal d'installation plinthe","","","","510 Système de support > Canal d'installation","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"510 Système de support","177","titre_sous_titre","Chemin de câble","","","","510 Système de support > Canal d'installation plinthe","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"520 Conducteurs","34","titre_sous_titre","Câbles et fils","","","","520 Conducteurs","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"520 Conducteurs","36","titre_sous_titre","Câble d'installation rigide","","","","520 Conducteurs > Câbles et fils","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"520 Conducteurs","53","titre_sous_titre","Câble d'installation souple","","","","520 Conducteurs > Câble d'installation rigide","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"520 Conducteurs","61","titre_sous_titre","Câble d'installation courant faible","","","","520 Conducteurs > Câble d'installation souple","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"520 Conducteurs","75","titre_sous_titre","Câble d'installation PUR PUR orange","","","","520 Conducteurs > Câble d'installation courant faible","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"520 Conducteurs","81","titre_sous_titre","Câble FE180","","","","520 Conducteurs > Câble d'installation PUR PUR orange","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"520 Conducteurs","86","titre_sous_titre","Fil d'installation","","","","520 Conducteurs > Câble FE180","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"530 Distribution","34","titre_sous_titre","Distribution","","","","530 Distribution","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"530 Distribution","36","titre_sous_titre","Coffret, boitiers, ensembles d'appareillage","","","","530 Distribution > Distribution","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"530 Distribution","38","titre_sous_titre","Coupe-circuits Fusible","","","","530 Distribution > Coffret, boitiers, ensembles d'appareillage","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"530 Distribution","43","titre_sous_titre","Tableau de comptage","","","","530 Distribution > Coupe-circuits Fusible","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"530 Distribution","55","titre_sous_titre","Tableau de distribution APP","","","","530 Distribution > Tableau de comptage","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"530 Distribution","67","titre_sous_titre","Tableau de distribution ENC","","","","530 Distribution > Tableau de distribution APP","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"530 Distribution","73","titre_sous_titre","Tableau étanche","","","","530 Distribution > Tableau de distribution ENC","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"530 Distribution","77","titre_sous_titre","Disjoncteurs de canalisations (sans FI)","","","","530 Distribution > Tableau étanche","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"530 Distribution","91","titre_sous_titre","Interrupteurs diférentiels (avec FI)","","","","530 Distribution > Disjoncteurs de canalisations (sans FI)","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"530 Distribution","123","titre_sous_titre","HORLOGE ET RELAIS","","","","530 Distribution > Interrupteurs diférentiels (avec FI)","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"540 Appareils à c fort","32","titre_sous_titre","Appareillage à courant fort APP","","","","540 Appareils à c fort","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"540 Appareils à c fort","35","titre_sous_titre","Interrupteurs AP","","","","540 Appareils à c fort > Appareillage à courant fort APP","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"540 Appareils à c fort","45","titre_sous_titre","Combinaison inter-prises AP","","","","540 Appareils à c fort > Interrupteurs AP","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"540 Appareils à c fort","50","titre_sous_titre","Interrupteurs NAP","","","","540 Appareils à c fort > Combinaison inter-prises AP","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"540 Appareils à c fort","57","titre_sous_titre","Prises AP","","","","540 Appareils à c fort > Interrupteurs NAP","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"540 Appareils à c fort","65","titre_sous_titre","Prises NAP","","","","540 Appareils à c fort > Prises AP","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"540 Appareils à c fort","72","titre_sous_titre","Interrupteurs ENC","","","","540 Appareils à c fort > Prises NAP","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"540 Appareils à c fort","84","titre_sous_titre","Interrupteurs NUP","","","","540 Appareils à c fort > Interrupteurs ENC","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"540 Appareils à c fort","92","titre_sous_titre","Combinaison inter-prises ENC","","","","540 Appareils à c fort > Interrupteurs NUP","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"540 Appareils à c fort","101","titre_sous_titre","Prises ENC","","","","540 Appareils à c fort > Combinaison inter-prises ENC","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"540 Appareils à c fort","116","titre_sous_titre","Prises NUP","","","","540 Appareils à c fort > Prises ENC","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"540 Appareils à c fort","124","titre_sous_titre","Cadres apparent","","","","540 Appareils à c fort > Prises NUP","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
"540 Appareils à c fort","130","titre_sous_titre","Potelet","","","","540 Appareils à c fort > Cadres apparent","Titre/sous-titre exclu; utilise uniquement comme categorie parent."
